delivery_start,cancellation_event_received_at,attributed_partner,attributed_channel_group,cancellation_reason
2024-06-19 00:00:00+00:00,,PartnerA,GroupA,
2024-04-01 00:00:00+00:00,,PartnerA,GroupA,
2025-03-05 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-03-31 00:00:00+00:00,2024-08-09 01:03:18+00:00,PartnerA,GroupA,OtherSupplier
2023-07-01 00:00:00+00:00,2024-03-20 21:40:46+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-05-03 00:00:00+00:00,,PartnerA,GroupA,
2026-03-01 00:00:00+00:00,,PartnerA,GroupA,
2025-07-16 00:00:00+00:00,,PartnerA,GroupA,
2024-06-01 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2025-02-01 00:00:00+00:00,,PartnerA,GroupA,
2024-04-05 00:00:00+00:00,2024-08-26 13:54:51+00:00,PartnerA,GroupA,OtherSupplier
2023-08-07 00:00:00+00:00,2024-04-30 20:21:23+00:00,PartnerA,GroupA,CustomerSupplierChange
2024-08-15 00:00:00+00:00,2025-02-12 14:53:18+00:00,PartnerA,GroupA,Dunning
2024-07-15 00:00:00+00:00,2024-10-14 13:54:12+00:00,PartnerA,GroupA,CustomerRelocation
2023-04-14 00:00:00+00:00,2024-06-10 13:52:46+00:00,PartnerA,GroupA,CustomerSupplierChange
,,PartnerA,GroupA,
2024-05-10 00:00:00+00:00,2025-06-16 11:00:33+00:00,PartnerA,GroupA,OtherSupplier
2024-04-01 00:00:00+00:00,,PartnerA,GroupA,
2024-08-25 00:00:00+00:00,,PartnerA,GroupA,
2023-11-01 00:00:00+00:00,2023-12-23 23:09:55+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2024-05-01 00:00:00+00:00,,PartnerA,GroupA,
2025-03-19 00:00:00+00:00,,PartnerA,GroupA,
2023-09-01 00:00:00+00:00,2023-11-25 22:00:18+00:00,PartnerA,GroupA,OtherSupplier
2024-02-01 00:00:00+00:00,,PartnerA,GroupA,
2025-05-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-09-01 00:00:00+00:00,2025-05-26 13:53:28+00:00,PartnerA,GroupA,CustomerSupplierChange
2024-09-01 00:00:00+00:00,2025-07-22 20:08:28+00:00,PartnerA,GroupA,OtherSupplier
2025-09-01 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2025-05-12 00:00:00+00:00,2025-05-23 20:44:14+00:00,PartnerA,GroupA,CustomerRelocationRetained
2025-04-01 00:00:00+00:00,,PartnerA,GroupA,
2025-07-01 00:00:00+00:00,,PartnerA,GroupA,
2025-03-31 00:00:00+00:00,,PartnerA,GroupA,
2025-06-24 00:00:00+00:00,2025-08-14 20:06:13+00:00,PartnerA,GroupA,OtherSupplier
2024-06-24 00:00:00+00:00,,PartnerA,GroupA,
2024-04-27 00:00:00+00:00,2025-04-23 13:53:53+00:00,PartnerA,GroupA,OtherSupplier
2025-07-28 00:00:00+00:00,,PartnerA,GroupA,
2025-06-16 00:00:00+00:00,,PartnerA,GroupA,
2024-04-12 00:00:00+00:00,,PartnerA,GroupA,
2025-04-27 00:00:00+00:00,2025-08-04 20:15:11+00:00,PartnerA,GroupA,CustomerRelocation
2025-06-05 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-02-01 00:00:00+00:00,2025-02-04 23:25:22+00:00,PartnerA,GroupA,OtherSupplier
2024-07-21 00:00:00+00:00,,PartnerA,GroupA,
2023-01-02 00:00:00+00:00,2023-02-10 14:53:20+00:00,PartnerA,GroupA,CustomerSupplierChange
2024-11-15 00:00:00+00:00,2025-04-02 19:33:09+00:00,PartnerA,GroupA,OtherSupplier
2024-05-01 00:00:00+00:00,2025-04-02 13:52:51+00:00,PartnerA,GroupA,CustomerRelocation
2023-05-01 00:00:00+00:00,2023-12-06 21:18:21+00:00,PartnerA,GroupA,OtherSupplier
2024-04-05 00:00:00+00:00,,PartnerA,GroupA,
2024-07-04 00:00:00+00:00,2025-08-20 20:13:25+00:00,PartnerA,GroupA,CustomerRelocation
2024-06-27 00:00:00+00:00,,PartnerA,GroupA,
2023-05-19 00:00:00+00:00,,PartnerA,GroupA,
2023-10-01 00:00:00+00:00,,PartnerA,GroupA,
2025-02-11 00:00:00+00:00,,PartnerA,GroupA,
2026-03-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-02-16 00:00:00+00:00,2023-07-11 13:52:57+00:00,PartnerA,GroupA,OtherSupplier
2024-08-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-07-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-03-30 00:00:00+00:00,,PartnerA,GroupA,
2025-08-17 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2024-07-02 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-09-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-11-21 00:00:00+00:00,,PartnerA,GroupA,
2025-06-13 00:00:00+00:00,,PartnerA,GroupA,
2025-06-01 00:00:00+00:00,,PartnerA,GroupA,
2025-05-20 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-06-01 00:00:00+00:00,,PartnerA,GroupA,
2023-06-01 00:00:00+00:00,2024-05-29 23:43:26+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-03-07 00:00:00+00:00,,PartnerA,GroupA,
2024-12-01 00:00:00+00:00,,PartnerA,GroupA,
2023-07-17 00:00:00+00:00,,PartnerA,GroupA,
,2023-01-31 14:52:37+00:00,PartnerA,GroupA,
2024-08-03 00:00:00+00:00,2025-01-31 14:53:45+00:00,PartnerA,GroupA,Dunning
2025-08-02 00:00:00+00:00,,PartnerA,GroupA,
2023-02-10 00:00:00+00:00,2023-10-11 19:33:07+00:00,PartnerA,GroupA,CustomerRelocation
2024-03-01 00:00:00+00:00,2024-07-20 13:53:18+00:00,PartnerA,GroupA,CustomerRelocation
2024-09-07 00:00:00+00:00,,PartnerA,GroupA,
2025-04-23 00:00:00+00:00,,PartnerA,GroupA,
2025-04-01 00:00:00+00:00,,PartnerA,GroupA,
2024-07-01 00:00:00+00:00,2025-05-27 13:53:35+00:00,PartnerA,GroupA,OtherSupplier
2027-01-01 00:00:00+00:00,,PartnerA,GroupA,
2023-02-01 00:00:00+00:00,2024-11-21 14:54:45+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-07-29 00:00:00+00:00,,PartnerA,GroupA,
2025-05-01 00:00:00+00:00,,PartnerA,GroupA,
2024-10-23 00:00:00+00:00,,PartnerA,GroupA,
2025-10-10 00:00:00+00:00,,PartnerA,GroupA,
2024-01-01 00:00:00+00:00,,PartnerA,GroupA,
2024-09-01 00:00:00+00:00,2024-12-19 14:55:44+00:00,PartnerA,GroupA,OtherSupplier
2025-07-12 00:00:00+00:00,,PartnerA,GroupA,
2024-02-24 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2024-06-27 00:00:00+00:00,,PartnerA,GroupA,
2024-04-01 00:00:00+00:00,,PartnerA,GroupA,
2024-08-05 00:00:00+00:00,2025-06-11 10:29:01+00:00,PartnerA,GroupA,CustomerRelocation
2025-07-28 00:00:00+00:00,,PartnerA,GroupA,
2024-09-05 00:00:00+00:00,2024-08-30 15:01:56+00:00,PartnerA,GroupA,OtherSupplier
2025-08-13 00:00:00+00:00,,PartnerA,GroupA,
2025-07-16 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-02-01 00:00:00+00:00,,PartnerA,GroupA,
,2023-05-25 19:32:53+00:00,PartnerA,GroupA,
2025-04-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-08-22 00:00:00+00:00,,PartnerA,GroupA,
2024-07-09 00:00:00+00:00,2024-07-06 16:01:35+00:00,PartnerA,GroupA,CustomerSupplierChange
,,PartnerA,GroupA,
2024-10-15 00:00:00+00:00,2025-06-11 12:13:52+00:00,PartnerA,GroupA,CustomerRelocation
2023-10-05 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-10-16 00:00:00+00:00,2024-10-14 16:04:28+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-03-03 00:00:00+00:00,,PartnerA,GroupA,
2026-01-30 00:00:00+00:00,,PartnerA,GroupA,
2024-06-11 00:00:00+00:00,2025-03-26 14:54:27+00:00,PartnerA,GroupA,Dunning
2025-02-13 00:00:00+00:00,2025-02-14 14:53:06+00:00,PartnerA,GroupA,OtherSupplier
2024-08-01 00:00:00+00:00,,PartnerA,GroupA,
2025-05-04 00:00:00+00:00,,PartnerA,GroupA,
2023-07-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2026-01-01 00:00:00+00:00,,PartnerA,GroupA,
2024-12-04 00:00:00+00:00,,PartnerA,GroupA,
2025-07-26 00:00:00+00:00,,PartnerA,GroupA,
2025-04-28 00:00:00+00:00,,PartnerA,GroupA,
2024-03-15 00:00:00+00:00,,PartnerA,GroupA,
2025-02-12 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-11-13 00:00:00+00:00,2024-12-20 20:33:14+00:00,PartnerA,GroupA,CustomerRelocation
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2025-01-20 00:00:00+00:00,,PartnerA,GroupA,
2023-08-14 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-07-11 00:00:00+00:00,,PartnerA,GroupA,
2025-01-03 00:00:00+00:00,2025-01-17 22:50:41+00:00,PartnerA,GroupA,CustomerSupplierChange
2023-07-01 00:00:00+00:00,,PartnerA,GroupA,
2024-04-01 00:00:00+00:00,,PartnerA,GroupA,
2025-09-01 00:00:00+00:00,,PartnerA,GroupA,
2024-11-05 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-04-28 00:00:00+00:00,2023-07-05 13:53:43+00:00,PartnerA,GroupA,CustomerSupplierChange
,,PartnerA,GroupA,
2023-11-12 00:00:00+00:00,,PartnerA,GroupA,
2023-09-07 00:00:00+00:00,2023-09-13 19:33:34+00:00,PartnerA,GroupA,CustomerSupplierChange
,,PartnerA,GroupA,
2023-08-27 00:00:00+00:00,2023-12-13 23:22:40+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2024-10-01 00:00:00+00:00,,PartnerA,GroupA,
2023-09-18 00:00:00+00:00,2023-12-20 20:32:56+00:00,PartnerA,GroupA,CustomerSupplierChange
2023-07-01 00:00:00+00:00,,PartnerA,GroupA,
2023-09-21 00:00:00+00:00,2024-07-31 13:53:25+00:00,PartnerA,GroupA,CustomerRelocation
2024-06-28 00:00:00+00:00,,PartnerA,GroupA,
2024-04-07 00:00:00+00:00,,PartnerA,GroupA,
2025-08-04 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-03-25 00:00:00+00:00,,PartnerA,GroupA,
2024-07-28 00:00:00+00:00,2025-03-11 20:32:37+00:00,PartnerA,GroupA,CustomerRelocation
2024-12-05 00:00:00+00:00,,PartnerA,GroupA,
2024-12-16 00:00:00+00:00,,PartnerA,GroupA,
2025-07-31 00:00:00+00:00,,PartnerA,GroupA,
2023-11-28 00:00:00+00:00,,PartnerA,GroupA,
2023-04-25 00:00:00+00:00,2023-12-14 21:49:48+00:00,PartnerA,GroupA,OtherSupplier
2023-07-04 00:00:00+00:00,2024-11-12 22:01:18+00:00,PartnerA,GroupA,OtherSupplier
2025-07-29 00:00:00+00:00,,PartnerA,GroupA,
2024-10-01 00:00:00+00:00,,PartnerA,GroupA,
2023-05-05 00:00:00+00:00,2024-11-08 22:21:10+00:00,PartnerA,GroupA,OtherSupplier
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,2025-07-03 19:33:44+00:00,PartnerA,GroupA,OtherSupplier
2024-09-26 00:00:00+00:00,,PartnerA,GroupA,
2023-06-02 00:00:00+00:00,,PartnerA,GroupA,
2025-07-26 00:00:00+00:00,,PartnerA,GroupA,
2024-06-14 00:00:00+00:00,2024-06-04 15:01:46+00:00,PartnerA,GroupA,CustomerSupplierChange
2025-04-01 00:00:00+00:00,,PartnerA,GroupA,
2024-09-16 00:00:00+00:00,2025-02-19 14:53:28+00:00,PartnerA,GroupA,CustomerSupplierChange
,,PartnerA,GroupA,
2024-01-01 00:00:00+00:00,,PartnerA,GroupA,
2023-06-12 00:00:00+00:00,2024-11-22 14:54:44+00:00,PartnerA,GroupA,OtherSupplier
2025-05-01 00:00:00+00:00,,PartnerA,GroupA,
2025-04-01 00:00:00+00:00,,PartnerA,GroupA,
2024-06-14 00:00:00+00:00,2025-06-30 13:54:27+00:00,PartnerA,GroupA,CustomerSupplierChange
2025-06-16 00:00:00+00:00,,PartnerA,GroupA,
2025-05-15 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-06-28 00:00:00+00:00,2023-11-24 22:54:00+00:00,PartnerA,GroupA,OtherSupplier
2025-05-01 00:00:00+00:00,,PartnerA,GroupA,
2024-03-31 00:00:00+00:00,,PartnerA,GroupA,
2023-10-01 00:00:00+00:00,2024-06-19 13:53:26+00:00,PartnerA,GroupA,CustomerSupplierChange
,,PartnerA,GroupA,
2024-11-12 00:00:00+00:00,,PartnerA,GroupA,
2024-07-19 00:00:00+00:00,2024-10-15 13:55:02+00:00,PartnerA,GroupA,OtherSupplier
2023-07-21 00:00:00+00:00,2024-08-03 13:54:03+00:00,PartnerA,GroupA,CustomerRelocation
2025-06-11 00:00:00+00:00,,PartnerA,GroupA,
2025-06-16 00:00:00+00:00,2025-06-05 14:03:18+00:00,PartnerA,GroupA,OtherSupplier
2024-08-15 00:00:00+00:00,,PartnerA,GroupA,
2024-07-01 00:00:00+00:00,2024-08-07 19:34:16+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2024-02-02 00:00:00+00:00,2024-02-27 22:42:44+00:00,PartnerA,GroupA,OtherSupplier
2025-04-10 00:00:00+00:00,,PartnerA,GroupA,
2023-12-07 00:00:00+00:00,2024-02-03 22:42:30+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2025-05-16 00:00:00+00:00,2025-08-08 20:08:05+00:00,PartnerA,GroupA,CustomerRelocationRetained
,,PartnerA,GroupA,
2026-05-01 00:00:00+00:00,,PartnerA,GroupA,
2023-02-20 00:00:00+00:00,2024-05-03 13:53:04+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2025-02-01 00:00:00+00:00,2025-08-04 20:18:40+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2025-05-25 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-05-21 00:00:00+00:00,,PartnerA,GroupA,
2025-08-24 00:00:00+00:00,,PartnerA,GroupA,
2023-10-21 00:00:00+00:00,2023-11-11 22:19:09+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2025-07-01 00:00:00+00:00,,PartnerA,GroupA,
2025-06-01 00:00:00+00:00,,PartnerA,GroupA,
2025-09-01 00:00:00+00:00,,PartnerA,GroupA,
2023-09-18 00:00:00+00:00,2025-02-09 20:32:41+00:00,PartnerA,GroupA,OtherSupplier
2025-05-01 00:00:00+00:00,,PartnerA,GroupA,
2023-07-01 00:00:00+00:00,2024-10-30 01:23:54+00:00,PartnerA,GroupA,OtherSupplier
2024-12-01 00:00:00+00:00,,PartnerA,GroupA,
2023-10-01 00:00:00+00:00,,PartnerA,GroupA,
2024-02-02 00:00:00+00:00,,PartnerA,GroupA,
2024-11-27 00:00:00+00:00,,PartnerA,GroupA,
2025-06-01 00:00:00+00:00,,PartnerA,GroupA,
2025-02-28 00:00:00+00:00,,PartnerA,GroupA,
2026-08-26 00:00:00+00:00,,PartnerA,GroupA,
2024-08-17 00:00:00+00:00,2024-12-21 14:54:31+00:00,PartnerA,GroupA,OtherSupplier
2024-08-20 00:00:00+00:00,,PartnerA,GroupA,
2024-07-25 00:00:00+00:00,,PartnerA,GroupA,
2023-06-01 00:00:00+00:00,,PartnerA,GroupA,
2025-08-06 00:00:00+00:00,,PartnerA,GroupA,
2024-06-01 00:00:00+00:00,2024-08-20 13:53:37+00:00,PartnerA,GroupA,CustomerRelocation
2023-09-01 00:00:00+00:00,,PartnerA,GroupA,
2024-08-27 00:00:00+00:00,,PartnerA,GroupA,
2024-07-14 00:00:00+00:00,2025-08-02 20:12:27+00:00,PartnerA,GroupA,OtherSupplier
2025-02-12 00:00:00+00:00,,PartnerA,GroupA,
2025-09-03 00:00:00+00:00,,PartnerA,GroupA,
2025-05-19 00:00:00+00:00,2025-05-02 16:04:31+00:00,PartnerA,GroupA,CustomerSupplierChange
2023-08-01 00:00:00+00:00,2025-01-03 14:55:33+00:00,PartnerA,GroupA,CustomerSupplierChange
2024-10-08 00:00:00+00:00,,PartnerA,GroupA,
2025-07-30 00:00:00+00:00,,PartnerA,GroupA,
2023-05-02 00:00:00+00:00,2023-09-15 19:32:10+00:00,PartnerA,GroupA,OtherSupplier
2024-07-01 00:00:00+00:00,,PartnerA,GroupA,
2025-07-03 00:00:00+00:00,,PartnerA,GroupA,
2023-12-30 00:00:00+00:00,,PartnerA,GroupA,
2025-06-14 00:00:00+00:00,,PartnerA,GroupA,
2024-04-02 00:00:00+00:00,,PartnerA,GroupA,
2023-05-01 00:00:00+00:00,2023-07-04 13:53:22+00:00,PartnerA,GroupA,CustomerRelocation
2024-09-01 00:00:00+00:00,2025-08-02 20:11:13+00:00,PartnerA,GroupA,OtherSupplier
2024-07-04 00:00:00+00:00,,PartnerA,GroupA,
2024-09-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-07-12 00:00:00+00:00,,PartnerA,GroupA,
2023-08-01 00:00:00+00:00,,PartnerA,GroupA,
2024-09-07 00:00:00+00:00,,PartnerA,GroupA,
2024-09-27 00:00:00+00:00,,PartnerA,GroupA,
2024-11-01 00:00:00+00:00,,PartnerA,GroupA,
2025-02-01 00:00:00+00:00,2025-04-17 04:28:53+00:00,PartnerA,GroupA,OtherSupplier
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-09-13 00:00:00+00:00,2023-12-15 21:42:25+00:00,PartnerA,GroupA,OtherSupplier
2023-09-28 00:00:00+00:00,2024-01-12 21:30:45+00:00,PartnerA,GroupA,OtherSupplier
2023-04-16 00:00:00+00:00,2023-05-02 13:53:37+00:00,PartnerA,GroupA,CustomerSupplierChange
2025-02-27 00:00:00+00:00,,PartnerA,GroupA,
2023-06-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-06-14 00:00:00+00:00,2024-07-14 13:52:53+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-04-24 00:00:00+00:00,2024-07-01 19:33:16+00:00,PartnerA,GroupA,Dunning
2024-06-24 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-02-14 00:00:00+00:00,,PartnerA,GroupA,
2024-06-23 00:00:00+00:00,,PartnerA,GroupA,
2024-06-15 00:00:00+00:00,,PartnerA,GroupA,
2023-06-12 00:00:00+00:00,2024-06-10 13:52:46+00:00,PartnerA,GroupA,OtherSupplier
2023-07-01 00:00:00+00:00,,PartnerA,GroupA,
2023-12-12 00:00:00+00:00,2023-12-19 14:53:33+00:00,PartnerA,GroupA,OtherSupplier
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2025-04-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-08-27 00:00:00+00:00,,PartnerA,GroupA,
2024-10-01 00:00:00+00:00,2025-01-15 20:33:33+00:00,PartnerA,GroupA,OtherSupplier
2024-08-27 00:00:00+00:00,2025-03-24 20:33:02+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2023-06-06 00:00:00+00:00,2023-12-23 14:53:35+00:00,PartnerA,GroupA,CustomerSupplierChange
2024-04-05 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-07-03 00:00:00+00:00,2025-08-19 20:05:49+00:00,PartnerA,GroupA,CustomerSupplierChange
2024-08-24 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2023-06-23 00:00:00+00:00,2024-11-01 21:53:44+00:00,PartnerA,GroupA,Dunning
,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-03-18 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-11-15 00:00:00+00:00,,PartnerA,GroupA,
2023-06-01 00:00:00+00:00,2025-04-12 03:39:51+00:00,PartnerA,GroupA,OtherSupplier
2025-08-01 00:00:00+00:00,,PartnerA,GroupA,
2024-12-11 00:00:00+00:00,,PartnerA,GroupA,
2024-08-14 00:00:00+00:00,2024-10-14 21:32:07+00:00,PartnerA,GroupA,CustomerRelocation
2024-09-12 00:00:00+00:00,,PartnerA,GroupA,
2025-07-30 00:00:00+00:00,,PartnerA,GroupA,
2025-05-01 00:00:00+00:00,,PartnerA,GroupA,
2023-09-01 00:00:00+00:00,,PartnerA,GroupA,
2023-05-14 00:00:00+00:00,,PartnerA,GroupA,
2024-08-11 00:00:00+00:00,2024-11-09 22:00:07+00:00,PartnerA,GroupA,OtherSupplier
2024-06-10 00:00:00+00:00,,PartnerA,GroupA,
2025-08-24 00:00:00+00:00,,PartnerA,GroupA,
2023-06-26 00:00:00+00:00,2025-02-18 14:53:20+00:00,PartnerA,GroupA,CustomerSupplierChange
2025-04-15 00:00:00+00:00,,PartnerA,GroupA,
2025-09-01 00:00:00+00:00,,PartnerA,GroupA,
2025-08-22 00:00:00+00:00,,PartnerA,GroupA,
2024-04-03 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2024-03-26 00:00:00+00:00,,PartnerA,GroupA,
2023-06-01 00:00:00+00:00,2023-11-08 20:32:15+00:00,PartnerA,GroupA,CustomerRelocation
2025-07-01 00:00:00+00:00,,PartnerA,GroupA,
2023-03-18 00:00:00+00:00,,PartnerA,GroupA,
2025-07-23 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-08-16 00:00:00+00:00,,PartnerA,GroupA,
2025-02-01 00:00:00+00:00,,PartnerA,GroupA,
2024-08-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-09-02 00:00:00+00:00,2023-11-06 14:53:16+00:00,PartnerA,GroupA,CustomerSupplierChange
,,PartnerA,GroupA,
2024-09-08 00:00:00+00:00,,PartnerA,GroupA,
2024-09-18 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,2025-07-19 20:03:53+00:00,PartnerA,GroupA,OtherSupplier
2025-06-01 00:00:00+00:00,,PartnerA,GroupA,
2024-12-01 00:00:00+00:00,,PartnerA,GroupA,
2024-10-27 00:00:00+00:00,,PartnerA,GroupA,
2023-07-12 00:00:00+00:00,2025-01-29 14:53:24+00:00,PartnerA,GroupA,CustomerSupplierChange
2024-04-09 00:00:00+00:00,,PartnerA,GroupA,
2024-09-01 00:00:00+00:00,,PartnerA,GroupA,
2024-04-01 00:00:00+00:00,2024-08-07 13:53:20+00:00,PartnerA,GroupA,CustomerRelocation
2024-10-07 00:00:00+00:00,2025-02-06 10:47:39+00:00,PartnerA,GroupA,CustomerSupplierChange
2023-06-01 00:00:00+00:00,2024-07-26 13:53:45+00:00,PartnerA,GroupA,CustomerRelocation
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2024-07-19 00:00:00+00:00,2025-07-05 01:43:32+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2024-07-15 00:00:00+00:00,,PartnerA,GroupA,
2023-10-01 00:00:00+00:00,2023-10-04 21:45:36+00:00,PartnerA,GroupA,OtherSupplier
2024-07-01 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2023-10-01 00:00:00+00:00,,PartnerA,GroupA,
2025-05-15 00:00:00+00:00,,PartnerA,GroupA,
2025-05-11 00:00:00+00:00,,PartnerA,GroupA,
2025-04-30 00:00:00+00:00,,PartnerA,GroupA,
2025-04-14 00:00:00+00:00,2025-07-30 20:05:33+00:00,PartnerA,GroupA,CustomerSupplierChange
